,scores,labels
0,"[[2.27373675e-13]
 [2.27373675e-13]
 [4.01759987e+01]
 ...
 [2.75356516e+01]
 [2.75356516e+01]
 [0.00000000e+00]]",1
1,"[[140.92420807]
 [140.92420807]
 [ 97.83035785]
 ...
 [110.11659582]
 [110.11659582]
 [  0.        ]]",1
2,"[[1.98951966e-13]
 [1.98951966e-13]
 [5.68434189e-14]
 ...
 [1.48406364e+02]
 [1.48406364e+02]
 [0.00000000e+00]]",1
3,"[[2.27373675e-13]
 [2.27373675e-13]
 [1.16258765e+02]
 ...
 [5.01692579e+02]
 [1.64809641e+02]
 [0.00000000e+00]]",1
4,"[[0.00000000e+00]
 [0.00000000e+00]
 [5.68434189e-14]
 ...
 [2.75356516e+01]
 [2.75356516e+01]
 [0.00000000e+00]]",0
5,"[[148.20570845]
 [148.20570845]
 [105.11185823]
 ...
 [ 27.53565156]
 [ 27.53565156]
 [  0.        ]]",0
6,"[[1.98951966e-13]
 [1.98951966e-13]
 [1.42108547e-13]
 ...
 [3.97903932e-13]
 [3.97903932e-13]
 [0.00000000e+00]]",0
7,"[[1.98951966e-13]
 [1.98951966e-13]
 [5.68434189e-14]
 ...
 [4.54747351e-13]
 [4.54747351e-13]
 [0.00000000e+00]]",0
8,"[[ 0.        ]
 [ 0.        ]
 [23.27248691]
 ...
 [27.53565156]
 [27.53565156]
 [ 0.        ]]",0
9,"[[1.13686838e-13]
 [1.13686838e-13]
 [2.84217094e-14]
 ...
 [1.64809641e+02]
 [1.64809641e+02]
 [0.00000000e+00]]",0
10,"[[1.70530257e-13]
 [1.70530257e-13]
 [5.68434189e-14]
 ...
 [1.64809641e+02]
 [1.64809641e+02]
 [0.00000000e+00]]",0
11,"[[140.92420807]
 [140.92420807]
 [116.25876497]
 ...
 [884.93750219]
 [164.80964136]
 [  0.        ]]",0
12,"[[1.13686838e-13]
 [1.13686838e-13]
 [2.32724869e+01]
 ...
 [4.27898045e+02]
 [1.64809641e+02]
 [0.00000000e+00]]",0
13,"[[1.13686838e-13]
 [1.13686838e-13]
 [1.98951966e-13]
 ...
 [2.75356516e+01]
 [2.75356516e+01]
 [0.00000000e+00]]",0
14,"[[140.92420807]
 [140.92420807]
 [ 97.83035785]
 ...
 [148.40636374]
 [148.40636374]
 [  0.        ]]",0
15,"[[5.68434189e-14]
 [5.68434189e-14]
 [2.27373675e-13]
 ...
 [6.82121026e-13]
 [6.82121026e-13]
 [0.00000000e+00]]",0
16,"[[1.98951966e-13]
 [1.98951966e-13]
 [1.98951966e-13]
 ...
 [8.35941964e+02]
 [1.64809641e+02]
 [0.00000000e+00]]",0
17,"[[0.00000000e+00]
 [0.00000000e+00]
 [8.52651283e-14]
 ...
 [1.49484085e+02]
 [1.49484085e+02]
 [0.00000000e+00]]",0
18,"[[2.84217094e-14]
 [2.84217094e-14]
 [1.42108547e-13]
 ...
 [1.64809641e+02]
 [1.64809641e+02]
 [0.00000000e+00]]",0
19,"[[2.84217094e-14]
 [2.84217094e-14]
 [1.98951966e-13]
 ...
 [2.75356516e+01]
 [2.75356516e+01]
 [0.00000000e+00]]",0
20,"[[8.52651283e-14]
 [8.52651283e-14]
 [1.42108547e-13]
 ...
 [8.30682758e+01]
 [8.30682758e+01]
 [0.00000000e+00]]",0
21,"[[8.52651283e-14]
 [8.52651283e-14]
 [2.84217094e-13]
 ...
 [1.48406364e+02]
 [1.48406364e+02]
 [0.00000000e+00]]",0
22,"[[5.68434189e-14]
 [5.68434189e-14]
 [8.52651283e-14]
 ...
 [2.75356516e+01]
 [2.75356516e+01]
 [0.00000000e+00]]",0
23,"[[ 66.36633713]
 [ 66.36633713]
 [ 23.27248691]
 ...
 [164.80964136]
 [164.80964136]
 [  0.        ]]",0
24,"[[140.92420807]
 [140.92420807]
 [116.25876497]
 ...
 [ 70.87845341]
 [ 70.87845341]
 [  0.        ]]",0
25,"[[1.42108547e-13]
 [1.42108547e-13]
 [2.27373675e-13]
 ...
 [2.84217094e-13]
 [2.84217094e-13]
 [0.00000000e+00]]",0
26,"[[7.39747749e+01]
 [7.39747749e+01]
 [1.16258765e+02]
 ...
 [7.67386155e-13]
 [7.67386155e-13]
 [0.00000000e+00]]",0
27,"[[8.52651283e-14]
 [8.52651283e-14]
 [8.52651283e-14]
 ...
 [7.33833887e+01]
 [7.33833887e+01]
 [0.00000000e+00]]",0
28,"[[8.52651283e-14]
 [8.52651283e-14]
 [1.42108547e-13]
 ...
 [2.75356516e+01]
 [2.75356516e+01]
 [0.00000000e+00]]",0
29,"[[1.13686838e-13]
 [1.13686838e-13]
 [2.84217094e-14]
 ...
 [1.47847206e+02]
 [1.47847206e+02]
 [0.00000000e+00]]",0
30,"[[2.84217094e-13]
 [2.84217094e-13]
 [1.98951966e-13]
 ...
 [2.75356516e+01]
 [2.75356516e+01]
 [0.00000000e+00]]",0
31,"[[2.27373675e-13]
 [2.27373675e-13]
 [8.52651283e-14]
 ...
 [3.43454727e+01]
 [3.43454727e+01]
 [0.00000000e+00]]",0
32,"[[1.98951966e-13]
 [1.98951966e-13]
 [3.12638804e-13]
 ...
 [1.64809641e+02]
 [1.64809641e+02]
 [0.00000000e+00]]",0
33,"[[1.13686838e-13]
 [1.13686838e-13]
 [3.12638804e-13]
 ...
 [7.08784534e+01]
 [7.08784534e+01]
 [0.00000000e+00]]",0
34,"[[4.26325641e-13]
 [4.26325641e-13]
 [1.68612700e+01]
 ...
 [7.10542736e-13]
 [7.10542736e-13]
 [0.00000000e+00]]",0
35,"[[140.92420807]
 [140.92420807]
 [ 97.83035785]
 ...
 [ 60.80601064]
 [ 60.80601064]
 [  0.        ]]",0
36,"[[0.00000000e+00]
 [0.00000000e+00]
 [2.27373675e-13]
 ...
 [1.64809641e+02]
 [1.64809641e+02]
 [0.00000000e+00]]",0
37,"[[66.36633713]
 [66.36633713]
 [23.27248691]
 ...
 [34.34547272]
 [34.34547272]
 [ 0.        ]]",0
38,"[[59.95512018]
 [59.95512018]
 [16.86126996]
 ...
 [75.71364446]
 [75.71364446]
 [ 0.        ]]",0
39,"[[1.13686838e-13]
 [1.13686838e-13]
 [2.32724869e+01]
 ...
 [2.75356516e+01]
 [2.75356516e+01]
 [0.00000000e+00]]",0
40,"[[1.70530257e-13]
 [1.70530257e-13]
 [2.27373675e-13]
 ...
 [6.70746826e+01]
 [6.70746826e+01]
 [0.00000000e+00]]",0
41,"[[148.20570845]
 [266.4923161 ]
 [223.39846587]
 ...
 [ 73.38338873]
 [ 73.38338873]
 [  0.        ]]",0
42,"[[148.20570845]
 [148.20570845]
 [105.11185823]
 ...
 [ 70.87845341]
 [ 70.87845341]
 [  0.        ]]",0
43,"[[0.00000000e+00]
 [0.00000000e+00]
 [3.41060513e-13]
 ...
 [1.63856911e+02]
 [1.63856911e+02]
 [0.00000000e+00]]",0
44,"[[1.13686838e-13]
 [1.13686838e-13]
 [5.68434189e-14]
 ...
 [4.36351196e+03]
 [1.64809641e+02]
 [0.00000000e+00]]",0
45,"[[2.84217094e-14]
 [2.84217094e-14]
 [0.00000000e+00]
 ...
 [1.64809641e+02]
 [1.64809641e+02]
 [0.00000000e+00]]",0
46,"[[140.92420807]
 [140.92420807]
 [ 97.83035785]
 ...
 [164.80964136]
 [164.80964136]
 [  0.        ]]",0
47,"[[ 140.92420807]
 [ 140.92420807]
 [  97.83035785]
 ...
 [2469.1244971 ]
 [ 164.80964136]
 [   0.        ]]",0
48,"[[5.68434189e-14]
 [5.68434189e-14]
 [5.68434189e-13]
 ...
 [1.80874897e+03]
 [1.64809641e+02]
 [0.00000000e+00]]",0
49,"[[140.92420807]
 [140.92420807]
 [ 97.83035785]
 ...
 [164.80964136]
 [164.80964136]
 [  0.        ]]",0
50,"[[2.84217094e-14]
 [2.84217094e-14]
 [1.16258765e+02]
 ...
 [1.09017017e+03]
 [1.64809641e+02]
 [0.00000000e+00]]",0
51,"[[5.68434189e-14]
 [5.68434189e-14]
 [2.27373675e-13]
 ...
 [6.53699317e-13]
 [6.53699317e-13]
 [0.00000000e+00]]",0
52,"[[0.00000000e+00]
 [0.00000000e+00]
 [5.68434189e-14]
 ...
 [1.64809641e+02]
 [1.64809641e+02]
 [0.00000000e+00]]",0
53,"[[2.84217094e-14]
 [2.84217094e-14]
 [2.84217094e-14]
 ...
 [1.64809641e+02]
 [1.64809641e+02]
 [0.00000000e+00]]",0
54,"[[85.03132641]
 [85.03132641]
 [41.93747619]
 ...
 [27.53565156]
 [27.53565156]
 [ 0.        ]]",0
55,"[[1.70530257e-13]
 [1.70530257e-13]
 [2.84217094e-14]
 ...
 [3.43454727e+01]
 [3.43454727e+01]
 [0.00000000e+00]]",0
56,"[[1.40924208e+02]
 [1.40924208e+02]
 [9.78303578e+01]
 ...
 [5.40012479e-13]
 [5.40012479e-13]
 [0.00000000e+00]]",0
57,"[[5.68434189e-14]
 [5.68434189e-14]
 [4.01759987e+01]
 ...
 [2.75356516e+01]
 [2.75356516e+01]
 [0.00000000e+00]]",0
58,"[[1.98951966e-13]
 [1.98951966e-13]
 [1.42108547e-13]
 ...
 [1.64809641e+02]
 [1.64809641e+02]
 [0.00000000e+00]]",0
59,"[[5.68434189e-14]
 [5.68434189e-14]
 [2.84217094e-14]
 ...
 [3.43454727e+01]
 [3.43454727e+01]
 [0.00000000e+00]]",0
60,"[[1.42108547e-13]
 [1.42108547e-13]
 [2.55795385e-13]
 ...
 [2.26243313e+02]
 [1.64809641e+02]
 [0.00000000e+00]]",0
61,"[[0.00000000e+00]
 [0.00000000e+00]
 [1.70530257e-13]
 ...
 [1.65097626e+01]
 [1.65097626e+01]
 [0.00000000e+00]]",0
62,"[[2.55795385e-13]
 [2.55795385e-13]
 [2.32724869e+01]
 ...
 [1.64809641e+02]
 [1.64809641e+02]
 [0.00000000e+00]]",0
63,"[[1.13686838e-13]
 [1.13686838e-13]
 [2.84217094e-14]
 ...
 [1.64809641e+02]
 [1.64809641e+02]
 [0.00000000e+00]]",0
64,"[[2.55795385e-13]
 [2.55795385e-13]
 [2.55795385e-13]
 ...
 [1.49400037e+03]
 [1.64809641e+02]
 [0.00000000e+00]]",0
65,"[[2.84217094e-13]
 [2.84217094e-13]
 [2.84217094e-13]
 ...
 [3.43454727e+01]
 [3.43454727e+01]
 [0.00000000e+00]]",0
66,"[[0.00000000e+00]
 [0.00000000e+00]
 [8.52651283e-14]
 ...
 [1.64809641e+02]
 [1.64809641e+02]
 [0.00000000e+00]]",0
67,"[[1.42108547e-13]
 [1.42108547e-13]
 [5.68434189e-14]
 ...
 [2.75356516e+01]
 [2.75356516e+01]
 [0.00000000e+00]]",0
68,"[[2.84217094e-14]
 [2.84217094e-14]
 [1.42108547e-13]
 ...
 [5.10685037e+01]
 [5.10685037e+01]
 [0.00000000e+00]]",0
69,"[[ 73.97477487]
 [ 73.97477487]
 [138.85037542]
 ...
 [212.28952721]
 [164.80964136]
 [  0.        ]]",0
70,"[[1.13686838e-13]
 [1.13686838e-13]
 [1.42108547e-13]
 ...
 [1.27674505e+02]
 [1.27674505e+02]
 [0.00000000e+00]]",0
71,"[[5.68434189e-14]
 [5.68434189e-14]
 [2.32724869e+01]
 ...
 [2.15287106e+02]
 [1.64809641e+02]
 [0.00000000e+00]]",0
72,"[[1.13686838e-13]
 [1.13686838e-13]
 [8.52651283e-14]
 ...
 [2.75356516e+01]
 [2.75356516e+01]
 [0.00000000e+00]]",0
73,"[[1.48205708e+02]
 [1.48205708e+02]
 [1.05111858e+02]
 ...
 [6.25277607e-13]
 [6.25277607e-13]
 [0.00000000e+00]]",0
74,"[[1.70530257e-13]
 [1.70530257e-13]
 [8.52651283e-14]
 ...
 [2.75356516e+01]
 [2.75356516e+01]
 [0.00000000e+00]]",0
