,scores,labels
0,0.7495737,1
1,0.28224126,1
2,0.20326253,1
3,0.36516196,1
4,0.49915167,0
5,0.35615779,0
6,0.37799654,0
7,0.39907259,0
8,0.45834053,0
9,0.37756865,0
10,0.33249809,0
11,0.26769518,0
12,0.44692258,0
13,0.21589692,0
14,0.31128564,0
15,0.29221932,0
16,0.28444358,0
17,0.36843613,0
18,0.34388885,0
19,0.39285364,0
20,0.29899438,0
21,0.31364531,0
22,0.38088878,0
23,0.39065476,0
24,0.31895222,0
25,0.40186358,0
26,0.313556,0
27,0.31894219,0
28,0.29339133,0
29,0.31126448,0
30,0.36306075,0
31,0.3694597,0
32,0.20609206,0
33,0.19100799,0
34,0.36371641,0
35,0.31541492,0
36,0.2669006,0
37,0.28388649,0
38,0.39370046,0
39,0.2651039,0
40,0.43314396,0
41,0.26573416,0
42,0.30584483,0
43,0.3331245,0
44,0.42339172,0
45,0.29897474,0
46,0.24831335,0
47,0.27908821,0
48,0.29475736,0
49,0.28878254,1
50,0.36101175,1
51,0.69851081,1
52,0.34558346,0
53,0.32774392,0
54,0.27334468,0
55,0.31134166,0
56,0.40303528,0
57,0.26659651,0
58,0.32390696,0
59,0.24903583,0
60,0.25323136,0
61,0.39677383,0
62,0.26617158,0
63,0.22798454,0
64,0.22580649,0
65,0.30103271,0
66,0.32244305,0
67,0.28371152,0
68,0.25230624,0
69,0.28117339,0
70,0.27384809,0
71,0.35068792,0
72,0.27357507,0
73,0.34304154,0
74,0.29188662,0
75,0.29268959,0
76,0.27664329,0
77,0.16501907,0
78,0.17790153,0
79,0.19824349,0
80,0.22309773,0
81,0.20967321,0
82,0.21659259,0
83,0.32019387,0
84,0.29783148,0
85,0.26585625,0
86,0.25095865,0
87,0.29760269,0
88,0.20920944,0
89,0.28099136,0
90,0.28648305,0
91,0.24566102,0
92,0.3286709,0
93,0.30433459,0
94,0.27387393,0
95,0.23249618,0
96,0.26264503,0
97,0.35327017,1
98,0.29113078,1
99,0.34741153,0
100,0.35354158,0
101,0.29439369,0
102,0.30751163,0
103,0.43036989,0
104,0.25877108,0
105,0.32143886,0
106,0.228066,0
107,0.25596004,0
108,0.31134701,0
109,0.30729562,0
110,0.2608096,0
111,0.21758589,0
112,0.3303607,0
113,0.3226218,0
114,0.31639043,0
115,0.32018659,0
116,0.27202059,0
117,0.30623946,0
118,0.35243122,0
119,0.29419616,0
120,0.29908355,0
121,0.29155745,0
122,0.32248795,0
123,0.29002997,0
124,0.184227,0
125,0.17855313,0
126,0.20961008,0
127,0.20272641,0
128,0.20796635,0
129,0.20380022,0
130,0.37394737,0
131,0.29730914,0
132,0.25890413,0
133,0.26511913,0
134,0.30480704,0
135,0.23703135,0
136,0.26284484,0
137,0.3215991,0
138,0.26964013,0
139,0.3265851,0
140,0.33209522,0
141,0.27347647,0
142,0.23079409,0
143,0.31711228,0
144,0.34378382,0
145,0.27684665,0
146,0.56754229,1
147,0.39915731,1
148,0.44969398,1
149,0.51979448,1
150,0.39051802,0
151,0.4338761,0
152,0.32386551,0
153,0.3935974,0
154,0.35212441,0
155,0.49390148,0
156,0.55331426,0
157,0.37638188,0
158,0.4535607,0
159,0.51351105,0
160,0.40792965,0
161,0.31579078,0
162,0.30120252,0
163,0.38071399,0
164,0.3637004,0
165,0.48942672,0
166,0.48190773,0
167,0.57366658,0
168,0.36112289,0
169,0.35144458,0
170,0.25772331,0
171,0.31203698,0
172,0.31986153,0
173,0.28468805,0
174,0.22471051,0
175,0.25563815,0
176,0.44766167,0
177,0.25982008,0
178,0.30009951,0
179,0.30676145,0
180,0.5021155,0
181,0.40544499,0
182,0.40968558,0
183,0.52227441,0
184,0.36205994,0
185,0.33166971,0
186,0.36833978,0
187,0.30148446,0
188,0.29949719,0
189,0.28259989,0
190,0.40885034,0
191,0.30139616,0
192,0.58267031,1
193,0.4802823,1
194,0.73938396,1
195,0.44680205,0
196,0.52703035,0
197,0.3908527,0
198,0.48173159,0
199,0.3542224,0
200,0.39841681,0
201,0.42182723,0
202,0.40573896,0
203,0.56439066,0
204,0.45422609,0
205,0.35112764,0
206,0.32910755,0
207,0.35574135,0
208,0.41619438,0
209,0.43025107,0
210,0.50859183,0
211,0.49267844,0
212,0.42111475,0
213,0.45413898,0
214,0.50147603,0
215,0.32928524,0
216,0.33815965,0
217,0.34783635,0
218,0.31531837,0
219,0.28304157,0
220,0.35139934,0
221,0.37248199,0
222,0.35393351,0
223,0.4392971,0
224,0.3670805,0
225,0.38742192,0
226,0.43332961,0
227,0.35854565,0
228,0.46342435,0
229,0.51895729,0
230,0.40777093,0
231,0.3208806,0
232,0.27577248,0
233,0.31823634,0
234,0.27549324,0
235,0.48362377,0
236,0.28550868,0
237,0.4900898,0
238,0.37348026,0
239,0.44885799,0
240,0.46856655,1
241,0.51571828,1
242,0.49984254,1
243,0.36587968,1
244,0.57256879,0
245,0.34915242,0
246,0.2989338,0
247,0.43852077,0
248,0.53662583,0
249,0.52710751,0
250,0.28305993,0
251,0.31562077,0
252,0.52608381,0
253,0.44137492,0
254,0.41018497,0
255,0.41098603,0
256,0.41531832,0
257,0.36955897,0
258,0.34308121,0
259,0.50048591,0
260,0.62381912,0
261,0.43437912,0
262,0.34971202,0
263,0.27101768,0
264,0.35651141,0
265,0.43421903,0
266,0.34283443,0
267,0.36331191,0
268,0.43796083,0
269,0.34216342,0
270,0.60787544,0
271,0.39593044,0
272,0.40905897,0
273,0.3225244,0
274,0.39227601,0
275,0.31471268,0
276,0.25539622,0
277,0.3025365,0
278,0.29420439,0
279,0.33743372,0
280,0.27172829,0
281,0.39048806,0
282,0.31742487,0
283,0.40542898,0
284,0.44095157,1
285,0.28842321,1
286,0.3560232,1
287,0.37625164,0
288,0.30446532,0
289,0.27621575,0
290,0.39673613,0
291,0.36356307,0
292,0.35367351,0
293,0.24716937,0
294,0.26656487,0
295,0.41400542,0
296,0.35339467,0
297,0.34070669,0
298,0.34532675,0
299,0.32565834,0
300,0.28547367,0
301,0.30798684,0
302,0.38149063,0
303,0.32022836,0
304,0.26329309,0
305,0.44259509,0
306,0.21260587,0
307,0.21275773,0
308,0.32341865,0
309,0.27615221,0
310,0.31005987,0
311,0.32894017,0
312,0.31560005,0
313,0.34640691,0
314,0.34450361,0
315,0.37283417,0
316,0.30533712,0
317,0.32353667,0
318,0.26522112,0
319,0.26860229,0
320,0.24291374,0
321,0.34638079,0
322,0.25727,0
323,0.31363859,0
324,0.37292638,0
325,0.3700839,0
326,0.36215657,0
327,0.38383596,1
328,0.29007224,1
329,0.37748832,0
330,0.33725255,0
331,0.3032838,0
332,0.34699781,0
333,0.35075805,0
334,0.33235057,0
335,0.32476786,0
336,0.33602382,0
337,0.4093505,0
338,0.31944896,0
339,0.3776504,0
340,0.31477612,0
341,0.37121344,0
342,0.32075343,0
343,0.3320283,0
344,0.25279203,0
345,0.2526551,0
346,0.30251493,0
347,0.32621154,0
348,0.27202411,0
349,0.27935914,0
350,0.36165623,0
351,0.27280735,0
352,0.3661249,0
353,0.33616964,0
354,0.40448873,0
355,0.29097457,0
356,0.3479859,0
357,0.35876802,0
358,0.31453058,0
359,0.31665795,0
360,0.31622022,0
361,0.31827197,0
362,0.2964306,0
363,0.240593,0
364,0.29745783,0
365,0.2698258,0
366,0.44335985,0
367,0.4053433,0
368,0.41364531,0
369,0.40529471,0
370,0.38522359,0
371,0.40784627,1
372,0.33087732,1
373,0.49386845,1
374,0.40142617,1
375,0.35893379,0
376,0.31234978,0
377,0.31295345,0
378,0.35943917,0
379,0.32103852,0
380,0.49442351,0
381,0.45099216,0
382,0.47454128,0
383,0.36555679,0
384,0.37658398,0
385,0.285511,0
386,0.30682263,0
387,0.27712004,0
388,0.30875927,0
389,0.2732568,0
390,0.29636326,0
391,0.36635805,0
392,0.27045328,0
393,0.29485683,0
394,0.34096474,0
395,0.51018812,0
396,0.38946414,0
397,0.29197141,0
398,0.45228648,0
399,0.36211585,0
400,0.29696385,0
401,0.3764488,0
402,0.23758203,0
403,0.2949318,0
404,0.25164996,0
405,0.39801354,0
406,0.2960401,0
407,0.5718038,0
408,0.476182,0
409,0.54678403,0
410,0.55066256,0
411,0.52364046,0
412,0.44849994,1
413,0.38475905,1
414,0.47775856,1
415,0.37200993,0
416,0.32681578,0
417,0.3890027,0
418,0.39589953,0
419,0.41152917,0
420,0.50810881,0
421,0.49822979,0
422,0.4736132,0
423,0.46826136,0
424,0.43356469,0
425,0.36429322,0
426,0.35375962,0
427,0.34846626,0
428,0.35106259,0
429,0.30897768,0
430,0.35486349,0
431,0.4128853,0
432,0.37943349,0
433,0.39601996,0
434,0.40947083,0
435,0.42872437,0
436,0.46427462,0
437,0.39762575,0
438,0.49558966,0
439,0.45448016,0
440,0.37681643,0
441,0.30267172,0
442,0.30520516,0
443,0.32584845,0
444,0.29931923,0
