,scores,labels
0,1.77378552,1
1,2.03889369,1
2,1.7750504,1
3,1.48810946,1
4,2.03576919,1
5,1.62956017,1
6,1.74720353,1
7,2.08632951,1
8,1.6907977,1
9,1.78294917,1
10,1.20435866,1
11,2.18519927,1
12,1.86308822,1
13,1.57949223,1
14,1.99487398,1
15,1.77597333,1
16,2.04884129,1
17,1.72514884,1
18,2.26208751,1
19,1.65828277,1
20,1.6810667,1
21,1.4401893,1
22,1.36664077,1
23,1.286373,1
24,1.34932822,1
25,1.55830971,1
26,1.68374002,1
27,1.56046616,1
28,2.3092922,1
29,1.89867853,1
30,1.77598796,1
31,1.2917308,1
32,1.39741714,1
33,1.61519901,1
34,1.7639738,1
35,0.70876049,1
36,1.7406529,1
37,1.31775967,1
38,1.64555489,1
39,1.79586479,1
40,1.92812954,1
41,1.82852383,1
42,1.87479578,1
43,1.79158375,1
44,2.22208133,1
45,2.31026146,1
46,1.6708808,1
47,1.5823291,1
48,2.28297967,1
49,1.89279993,1
50,1.52246987,1
51,2.0257039,1
52,1.70161568,1
53,1.67576733,1
54,1.52629283,1
55,1.8162512,1
56,1.94031171,1
57,1.23511743,1
58,1.41630407,1
59,1.79234232,1
60,1.86281896,1
61,1.51067273,1
62,1.85720176,1
63,2.15224607,1
64,1.78510664,1
65,1.72951613,1
66,1.56055973,1
67,1.98321784,1
68,1.26749633,1
69,1.98876766,1
70,1.91831767,1
71,1.60990765,1
72,1.54254092,1
73,1.96352008,1
74,1.20932093,1
75,1.82640727,1
76,1.41733526,1
77,1.90853786,1
78,1.65770082,1
79,1.49156848,1
80,1.84514797,1
81,1.50065224,1
82,1.89206783,1
83,1.22208573,1
84,1.58117577,1
85,1.87874624,1
86,1.3752977,1
87,1.57946571,1
88,1.50154742,1
89,1.6568925,1
90,1.8490105,1
91,1.3858329,1
92,1.41441625,1
93,1.7529981,1
94,1.75455623,1
95,1.94831885,1
96,1.53554976,1
97,1.66988501,1
98,1.29648402,1
99,1.56739657,1
100,1.85048796,1
101,2.00174821,1
