index,g,label
0,[1.77378552],1
1,[2.03889369],1
2,[1.7750504],1
3,[1.48810946],1
4,[2.03576919],1
5,[1.62956017],1
6,[1.74720353],1
7,[2.08632951],1
8,[1.6907977],1
9,[1.78294917],1
10,[1.20435866],1
11,[2.18519927],1
12,[1.86308822],1
13,[1.57949223],1
14,[1.99487398],1
15,[1.77597333],1
16,[2.04884129],1
17,[1.72514884],1
18,[2.26208751],1
19,[1.65828277],1
20,[1.6810667],1
21,[1.4401893],1
22,[1.36664077],1
23,[1.286373],1
24,[1.34932822],1
25,[1.55830971],1
26,[1.68374002],1
27,[1.56046616],1
28,[2.3092922],1
29,[1.89867853],1
30,[1.77598796],1
31,[1.2917308],1
32,[1.39741714],1
33,[1.61519901],1
34,[1.7639738],1
35,[0.70876049],1
36,[1.7406529],1
37,[1.31775967],1
38,[1.64555489],1
39,[1.79586479],1
40,[1.92812954],1
41,[1.82852383],1
42,[1.87479578],1
43,[1.79158375],1
44,[2.22208133],1
45,[2.31026146],1
46,[1.6708808],1
47,[1.5823291],1
48,[2.28297967],1
49,[1.89279993],1
50,[1.52246987],1
51,[2.0257039],1
52,[1.70161568],1
53,[1.67576733],1
54,[1.52629283],1
55,[1.8162512],1
56,[1.94031171],1
57,[1.23511743],1
58,[1.41630407],1
59,[1.79234232],1
60,[1.86281896],1
61,[1.51067273],1
62,[1.85720176],1
63,[2.15224607],1
64,[1.78510664],1
65,[1.72951613],1
66,[1.56055973],1
67,[1.98321784],1
68,[1.26749633],1
69,[1.98876766],1
70,[1.91831767],1
71,[1.60990765],1
72,[1.54254092],1
73,[1.96352008],1
74,[1.20932093],1
75,[1.82640727],1
76,[1.41733526],1
77,[1.90853786],1
78,[1.65770082],1
79,[1.49156848],1
80,[1.84514797],1
81,[1.50065224],1
82,[1.89206783],1
83,[1.22208573],1
84,[1.58117577],1
85,[1.87874624],1
86,[1.3752977],1
87,[1.57946571],1
88,[1.50154742],1
89,[1.6568925],1
90,[1.8490105],1
91,[1.3858329],1
92,[1.41441625],1
93,[1.7529981],1
94,[1.75455623],1
95,[1.94831885],1
96,[1.53554976],1
97,[1.66988501],1
98,[1.29648402],1
99,[1.56739657],1
100,[1.85048796],0
101,[2.00174821],0
102,[1.61616002],0
103,[2.04963026],0
104,[1.89678291],0
105,[1.73723373],0
106,[1.80345396],0
107,[2.16218995],0
108,[1.54265537],0
109,[1.96521669],0
110,[1.16846167],0
111,[2.21103726],0
112,[1.95864778],0
113,[1.73143892],0
114,[2.11417639],0
115,[1.74480329],0
116,[2.02642291],0
117,[1.7843592],0
118,[2.29491525],0
119,[1.71803908],0
120,[1.4791816],0
121,[1.43362227],0
122,[1.14354123],0
123,[1.28500445],0
124,[1.33398233],0
125,[1.60858445],0
126,[1.56984108],0
127,[1.52892271],0
128,[2.22431898],0
129,[2.06597092],0
130,[1.76398254],0
131,[1.24072004],0
132,[1.30055103],0
133,[1.51003748],0
134,[1.65081864],0
135,[0.75621022],0
136,[1.84323702],0
137,[1.3473177],0
138,[1.53853412],0
139,[1.82799751],0
140,[1.95036597],0
141,[1.7382206],0
142,[1.70271343],0
143,[1.76440739],0
144,[2.2113003],0
145,[2.19673241],0
146,[1.5584441],0
147,[1.50948853],0
148,[2.19515653],0
149,[1.80558543],0
150,[1.38575781],0
151,[2.03048481],0
152,[1.71865175],0
153,[1.61250555],0
154,[1.38981108],0
155,[1.77152049],0
156,[1.93698861],0
157,[1.21629814],0
158,[1.29736964],0
159,[1.80299272],0
160,[2.18917407],0
161,[1.63829623],0
162,[1.83590938],0
163,[1.9881622],0
164,[1.5726915],0
165,[1.54497537],0
166,[1.57014667],0
167,[2.02610083],0
168,[1.30893826],0
169,[2.01064188],0
170,[1.85721979],0
171,[1.7205062],0
172,[1.48102035],0
173,[1.88320845],0
174,[1.43160547],0
175,[1.45963224],0
176,[1.10462508],0
177,[1.92073803],0
178,[1.70068344],0
179,[1.38888465],0
180,[1.77777349],0
181,[1.29660664],0
182,[1.98155265],0
183,[1.03627471],0
184,[1.55166758],0
185,[1.77845789],0
186,[1.42508176],0
187,[1.50838346],0
188,[1.52772884],0
189,[1.59823296],0
190,[1.93412068],0
191,[1.32321301],0
192,[1.45245039],0
193,[1.7425867],0
194,[1.82375946],0
195,[1.96045715],0
196,[1.43621334],0
197,[1.56763951],0
198,[1.46997893],0
199,[1.65880073],0
