,im,label
0,[0.37959644],1
1,[0.30775833],1
2,[1.01416829],1
3,[0.6118586],1
4,[0.84504524],1
5,[0.68540363],1
6,[0.75989088],1
7,[0.83582507],1
8,[0.8718294],1
9,[0.49430953],1
10,[0.29051384],1
11,[0.90672861],1
12,[0.62652984],1
13,[1.02788278],1
14,[0.4952174],1
15,[0.47312659],1
16,[0.46037922],1
17,[0.83564421],1
18,[0.30778409],1
19,[0.627717],1
20,[0.42048044],1
21,[0.41311901],1
22,[0.36530705],1
23,[0.48954936],1
24,[0.46926094],1
25,[0.25448286],1
26,[0.6849739],1
27,[0.34358737],1
28,[0.35756663],1
29,[0.56477946],1
30,[0.20739031],1
31,[0.39440691],1
32,[0.34684479],1
33,[0.37826302],1
34,[0.31439477],1
35,[0.26680015],1
36,[0.47797284],1
37,[0.41253702],1
38,[0.3572517],1
39,[0.37576733],1
40,[0.31092457],1
41,[0.36642483],1
42,[0.2256389],1
43,[0.32291917],1
44,[0.13778109],1
45,[0.37376003],1
46,[0.21722096],1
47,[0.21084782],1
48,[1.07807701],1
49,[0.46190785],1
50,[0.45396513],1
51,[0.39637492],1
52,[0.68732338],1
53,[0.15946426],1
54,[0.43404321],1
55,[0.22490304],1
56,[0.27047209],1
57,[0.20751033],1
58,[0.31672443],1
59,[0.33765539],1
60,[0.33758241],1
61,[0.49627217],1
62,[0.32148136],1
63,[0.29255701],1
64,[0.30996804],1
65,[0.23340448],1
66,[0.28155435],1
67,[0.30750356],1
68,[0.44013169],1
69,[0.34756787],1
70,[0.22643666],1
71,[0.29953912],1
72,[0.36955273],1
73,[0.36299894],1
74,[0.22199064],1
75,[0.25074993],1
76,[0.33188895],1
77,[0.38271729],1
78,[0.32023716],1
79,[0.29810823],1
80,[0.27031896],1
81,[0.26673197],1
82,[0.35773506],1
83,[0.28549432],1
84,[0.34255413],1
85,[0.16498551],1
86,[0.21981542],1
87,[0.29564819],1
88,[0.30913359],1
89,[0.31219943],1
90,[0.36349678],1
91,[0.26225095],1
92,[0.34195249],1
93,[0.23993186],1
94,[0.17920446],1
95,[0.26542903],1
96,[0.35508031],1
97,[0.36859881],1
98,[0.29987236],1
99,[0.38803642],1
100,[0.457705],1
101,[0.35521193],1
102,[0.37651212],1
103,[0.37101795],1
104,[0.32782117],1
105,[0.30206837],1
106,[0.35545342],1
107,[0.30181503],1
108,[0.31218145],1
109,[0.36604895],1
110,[0.38249043],1
111,[0.33265362],1
112,[0.37384992],1
113,[0.39657647],1
114,[0.26115569],1
115,[0.31275149],1
116,[0.26858582],1
117,[0.49861372],1
118,[0.40993256],1
119,[0.48400656],1
120,[0.45570448],1
