,scores,labels
0,[[0.74901503]],1
1,[[0.28263168]],1
2,[[0.20321565]],1
3,[[0.36469349]],1
4,[[0.4983445]],0
5,[[0.35565851]],0
6,[[0.37741658]],0
7,[[0.3988417]],0
8,[[0.45797989]],0
9,[[0.37715773]],0
10,[[0.33073978]],0
11,[[0.26697172]],0
12,[[0.44515153]],0
13,[[0.21561593]],0
14,[[0.31159658]],0
15,[[0.29279349]],0
16,[[0.28388883]],0
17,[[0.36835503]],0
18,[[0.34233091]],0
19,[[0.39428016]],0
20,[[0.30048336]],0
21,[[0.31481085]],0
22,[[0.38280665]],0
23,[[0.39164268]],0
24,[[0.31954105]],0
25,[[0.40070982]],0
26,[[0.31520084]],0
27,[[0.318176]],0
28,[[0.29480183]],0
29,[[0.31190106]],0
30,[[0.36266091]],0
31,[[0.36986903]],0
32,[[0.20559914]],0
33,[[0.19079046]],0
34,[[0.36441161]],0
35,[[0.31838296]],0
36,[[0.2674083]],0
37,[[0.28585091]],0
38,[[0.39448377]],0
39,[[0.26413515]],0
40,[[0.43191585]],0
41,[[0.26495015]],0
42,[[0.30411079]],0
43,[[0.33359141]],0
44,[[0.42200935]],0
45,[[0.3002923]],0
46,[[0.24774889]],0
47,[[0.27947287]],0
48,[[0.29536032]],0
49,[[0.21365262]],0
50,[[0.31947517]],0
51,[[0.21407437]],0
52,[[0.3039386]],0
53,[[0.28848334]],0
54,[[0.33277141]],0
55,[[0.22195698]],0
56,[[0.22794246]],0
57,[[0.45587433]],0
58,[[0.29380989]],0
59,[[0.2664888]],0
60,[[0.30699321]],0
61,[[0.27921747]],0
62,[[0.24945401]],0
63,[[0.25782573]],0
64,[[0.28481585]],0
65,[[0.37775852]],0
66,[[0.55504051]],0
67,[[0.30917705]],0
68,[[0.31073403]],0
69,[[0.45377435]],0
70,[[0.40236999]],0
71,[[0.36545966]],0
72,[[0.50298428]],0
73,[[0.41754312]],0
74,[[0.30428809]],0
75,[[0.27587501]],0
76,[[0.32750776]],0
77,[[0.36689583]],0
78,[[0.45910272]],0
79,[[0.29192883]],0
80,[[0.32530456]],0
81,[[0.27024313]],0
82,[[0.31213158]],0
83,[[0.36748734]],0
84,[[0.26502302]],0
85,[[0.34188784]],0
86,[[0.40622734]],0
87,[[0.41727389]],0
88,[[0.3816505]],0
89,[[0.37373368]],0
90,[[0.3019098]],0
91,[[0.40523343]],0
92,[[0.38393391]],0
93,[[0.34809259]],0
94,[[0.30551045]],0
95,[[0.31255522]],0
96,[[0.31358151]],0
97,[[0.29960552]],0
98,[[0.3611468]],0
99,[[0.39261344]],0
100,[[0.32435315]],0
101,[[0.44250782]],0
102,[[0.35721196]],0
103,[[0.36167551]],0
104,[[0.31123428]],0
105,[[0.25482458]],0
106,[[0.28340368]],0
107,[[0.23903335]],0
108,[[0.25196071]],0
109,[[0.31916988]],0
110,[[0.3649787]],0
111,[[0.41442219]],0
112,[[0.35996615]],0
113,[[0.32892029]],0
114,[[0.33731623]],0
115,[[0.21405649]],0
116,[[0.27114089]],0
117,[[0.3269311]],0
118,[[0.30406474]],0
119,[[0.39162107]],0
120,[[0.52092067]],0
121,[[0.28610716]],0
122,[[0.27981162]],0
123,[[0.34394501]],0
124,[[0.31370991]],0
125,[[0.32319865]],0
126,[[0.35665722]],0
127,[[0.39685524]],0
128,[[0.22429022]],0
129,[[0.3081746]],0
130,[[0.25237424]],0
131,[[0.30470912]],0
132,[[0.29989874]],0
133,[[0.40492665]],0
134,[[0.25994047]],0
135,[[0.25837041]],0
136,[[0.30625885]],0
137,[[0.34473012]],0
138,[[0.32522679]],0
139,[[0.20982051]],0
140,[[0.18392441]],0
141,[[0.18025723]],0
142,[[0.20909266]],0
143,[[0.20638479]],0
144,[[0.4850721]],0
145,[[0.48564122]],0
146,[[0.35726904]],0
147,[[0.26460055]],0
148,[[0.33655447]],0
149,[[0.28866305]],1
150,[[0.36077406]],1
151,[[0.69804844]],1
152,[[0.34209698]],0
153,[[0.32647192]],0
154,[[0.27268431]],0
155,[[0.31066432]],0
156,[[0.40274601]],0
157,[[0.2652988]],0
158,[[0.32394417]],0
159,[[0.24822959]],0
160,[[0.25310637]],0
161,[[0.39484622]],0
162,[[0.26698977]],0
163,[[0.22772413]],0
164,[[0.22574878]],0
165,[[0.30087697]],0
166,[[0.32163642]],0
167,[[0.28315216]],0
168,[[0.25032967]],0
169,[[0.27964812]],0
170,[[0.27216965]],0
171,[[0.35063882]],0
172,[[0.27162073]],0
173,[[0.34317688]],0
174,[[0.29021879]],0
175,[[0.29170965]],0
176,[[0.27611712]],0
177,[[0.16562511]],0
178,[[0.17779819]],0
179,[[0.19837477]],0
180,[[0.22328849]],0
181,[[0.20940448]],0
182,[[0.21668447]],0
183,[[0.3204509]],0
184,[[0.29780744]],0
